Bulan,Jenis Izin,Jumlah Izin Terbit
Januari,Izin Gangguan,478
Januari,Izin Usaha Industri,17
Januari,Izin Usaha Jasa Konstruksi,69
Januari,Izin Usaha Perdagangan,368
Januari,Tanda Daftar Gudang,12
Januari,Tanda Daftar Perusahaan,411
Januari,Tanda Daftar Usaha Kecil,1
Januari,Tanda Data Usaha Mikro,1
Febuari,Izin Gangguan,450
Febuari,Izin Usaha Industri,6
Febuari,Izin Usaha Jasa Konstruksi,63
Febuari,Izin Usaha Perdagangan,363
Febuari,Izin Usaha Pusat Perbelanjaan,1
Febuari,Izin Usaha Toko Modern,8
Febuari,Tanda Daftar Gudang,10
Febuari,Tanda Daftar Perusahaan,310
Febuari,Tanda Daftar Usaha Kecil,2
Febuari,Tanda Data Usaha Mikro,18
Maret,Izin Gangguan,451
Maret,Izin Usaha Industri,6
Maret,Izin Usaha Jasa Konstruksi,82
Maret,Izin Usaha Perdagangan,282
Maret,Izin Usaha Toko Modern,1
Maret,Tanda Daftar Gudang,5
Maret,Tanda Daftar Perusahaan,327
Maret,Tanda Daftar Usaha Kecil,5
Maret,Tanda Data Usaha Mikro,17
April,Izin Gangguan,39
April,Izin Khusus Waktu Pelayanan (Bagi Pusat Perbelanjaan dan Toko Modern),2
April,Izin Usaha Industri,7
April,Izin Usaha Jasa Konstruksi,49
April,Izin Usaha Perdagangan,280
April,Izin Usaha Pusat Perbelanjaan,1
April,Izin Usaha Simpan Pinjam,1
April,Izin Usaha Toko Modern,1
April,Tanda Daftar Gudang,4
April,Tanda Daftar Perusahaan,294
April,Tanda Daftar Usaha Kecil,4
April,Tanda Data Usaha Mikro,16
Mei,Izin Khusus Waktu Pelayanan (Bagi Pusat Perbelanjaan dan Toko Modern),9
Mei,Izin Usaha Industri,13
Mei,Izin Usaha Jasa Konstruksi,72
Mei,Izin Usaha Perdagangan,349
Mei,Izin Usaha Toko Modern,9
Mei,Tanda Daftar Gudang,9
Mei,Tanda Daftar Perusahaan,334
Mei,Tanda Daftar Usaha Kecil,13
Mei,Tanda Data Usaha Mikro,25
Juni,Izin Khusus Waktu Pelayanan (Bagi Pusat Perbelanjaan dan Toko Modern),2
Juni,Izin Usaha Industri,4
Juni,Izin Usaha Jasa Konstruksi,37
Juni,Izin Usaha Perdagangan,280
Juni,Izin Usaha Simpan Pinjam,1
Juni,Izin Usaha Toko Modern,8
Juni,Tanda Daftar Gudang,4
Juni,Tanda Daftar Perusahaan,232
Juni,Tanda Daftar Usaha Kecil,5
Juni,Tanda Data Usaha Mikro,10
Juli,Izin Khusus Waktu Pelayanan (Bagi Pusat Perbelanjaan dan Toko Modern),1
Juli,Izin Usaha Industri,6
Juli,Izin Usaha Jasa Konstruksi,56
Juli,Izin Usaha Perdagangan,305
Juli,Izin Usaha Toko Modern,10
Juli,Tanda Daftar Gudang,11
Juli,Tanda Daftar Perusahaan,399
Juli,Tanda Daftar Usaha Kecil,4
Juli,Tanda Data Usaha Mikro,18
Agustus,Izin Khusus Waktu Pelayanan (Bagi Pusat Perbelanjaan dan Toko Modern),1
Agustus,Izin Usaha Industri,9
Agustus,Izin Usaha Jasa Konstruksi,59
Agustus,Izin Usaha Perdagangan,373
Agustus,Izin Usaha Simpan Pinjam,1
Agustus,Izin Usaha Toko Modern,33
Agustus,Tanda Daftar Gudang,14
Agustus,Tanda Daftar Perusahaan,436
Agustus,Tanda Daftar Usaha Kecil,6
Agustus,Tanda Data Usaha Mikro,20
September,Izin Usaha Industri,6
October,Izin Usaha Jasa Konstruksi,41
November,Izin Usaha Perdagangan,273
December,Izin Usaha Toko Modern,20
January,Tanda Daftar Gudang,4
February,Tanda Daftar Perusahaan,324
March,Tanda Daftar Usaha Kecil,2
April,Tanda Data Usaha Mikro,15
Oktober,Izin Usaha Industri,4
Oktober,Izin Usaha Jasa Konstruksi,74
Oktober,Izin Usaha Perdagangan,369
Oktober,Izin Usaha Toko Modern,21
Oktober,Tanda Daftar Gudang,10
Oktober,Tanda Daftar Perusahaan,390
Oktober,Tanda Daftar Usaha Kecil,7
Oktober,Tanda Data Usaha Mikro,12
November,Izin Usaha Industri,2
December,Izin Usaha Jasa Konstruksi,19
January,Izin Usaha Perdagangan,80
February,Izin Usaha Pusat Perbelanjaan,1
March,Izin Usaha Simpan Pinjam,1
April,Izin Usaha Toko Modern,3
May,Tanda Daftar Gudang,1
June,Tanda Daftar Perusahaan,140
July,Tanda Daftar Usaha Kecil,1
August,Tanda Data Usaha Mikro,2
