Bulan,Jenis Izin,Jumlah Izin Terbit
Februari,Izin Khusus Waktu Pelayanan,1
Februari,Izin Usaha Toko Modern,10
Februari,Tanda Data Usaha Mikro,3
Maret,Izin Khusus Waktu Pelayanan,5
Maret,Izin Usaha Toko Modern,55
Maret,Tanda Data Usaha Mikro,4
April,Izin Usaha Jasa Konstruksi,5
April,Izin Usaha Perdagangan Umum,7
April,Izin Usaha Toko Modern,33
Mei,Izin Koperasi Simpan Pinjam,1
Mei,Izin Usaha Jasa Konstruksi,8
Mei,Izin Usaha Perdagangan Umum,11
Mei,Izin Usaha Toko Modern,13
Mei,Tanda Daftar Gudang,1
Juni,Izin Khusus Waktu Pelayanan,2
Juni,Izin Usaha Jasa Konstruksi,3
Juni,Izin Usaha Perdagangan Umum,6
Juni,Izin Usaha Toko Modern,4
Juni,Tanda Daftar Gudang,4
Juli,Izin Khusus Waktu Pelayanan,4
Juli,Izin Koperasi Simpan Pinjam,1
Juli,Izin Usaha Industri,1
Juli,Izin Usaha Jasa Konstruksi,8
Juli,Izin Usaha Perdagangan Umum,15
Juli,Izin Usaha Toko Modern,2
Juli,Tanda Daftar Gudang,3
Agustus,Izin Khusus Waktu Pelayanan,9
Agustus,Izin Usaha Industri,2
Agustus,Izin Usaha Jasa Konstruksi,14
Agustus,Izin Usaha Perdagangan Umum,28
Agustus,Izin Usaha Toko Modern,14
Agustus,Tanda Daftar Gudang,1
September,Izin Khusus Waktu Pelayanan,9
September,Izin Usaha Jasa Konstruksi,7
September,Izin Usaha Perdagangan Umum,20
September,Izin Usaha Toko Modern,10
September,Tanda Daftar Gudang,1
Oktober,Izin Khusus Waktu Pelayanan,15
Oktober,Izin Usaha Jasa Konstruksi,5
Oktober,Izin Usaha Perdagangan Umum,19
Oktober,Izin Usaha Toko Modern,2
Oktober,Tanda Daftar Gudang,1
November,Izin Usaha Industri,3
November,Izin Usaha Jasa Konstruksi,14
November,Izin Usaha Perdagangan Umum,19
November,Izin Usaha Toko Modern,19
Desember,Izin Koperasi Simpan Pinjam,1
Desember,Izin Usaha Industri,2
Desember,Izin Usaha Jasa Konstruksi,12
Desember,Izin Khusus Waktu Pelayanan,1
Desember,Izin Usaha Perdagangan Umum,20
Desember,Izin Usaha Toko Modern,9
